05-21-15 11:02:40	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:02:46	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:02:47	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:02:53	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 11:02:59	127.0.0.1	INFO	admin	access.ajxp_conf	Listing plugins	
05-21-15 11:03:13	127.0.0.1	INFO	admin	access.ajxp_conf	Listing plugins	
05-21-15 11:03:35	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 11:03:38	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=71dbfdcf9a90aca29542b4e7e3319dfa
05-21-15 11:27:53	127.0.0.1	INFO	admin	AuthService	Log Out	
05-21-15 12:01:00	127.0.0.1	INFO	admin	AuthService	Log In	context=WebUI
05-21-15 12:01:13	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=71dbfdcf9a90aca29542b4e7e3319dfa
05-21-15 12:01:18	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:01:24	127.0.0.1	INFO	admin	access.ajxp_conf	Listing plugins	
05-21-15 12:11:07	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_user
05-21-15 12:11:11	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:11:59	127.0.0.1	INFO	admin	access.ajxp_conf	Listing plugins	
05-21-15 12:16:20	127.0.0.1	INFO	admin	ConfService	Create Repository	repo_name=ewikiform
05-21-15 12:16:21	127.0.0.1	ERROR	admin	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 12:16:25	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:16:28	127.0.0.1	ERROR	admin	class.fsAccessDriver.php	error l.67	message=Cannot create root path for repository (ewikiform). Please check repository configuration or that your folder is writeable!
05-21-15 12:16:34	127.0.0.1	ERROR	admin	class.fsAccessDriver.php	error l.67	message=Cannot create root path for repository (ewikiform). Please check repository configuration or that your folder is writeable!
05-21-15 12:17:17	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=71dbfdcf9a90aca29542b4e7e3319dfa
05-21-15 12:17:23	127.0.0.1	ERROR	admin	class.fsAccessDriver.php	error l.67	message=Cannot create root path for repository (ewikiform). Please check repository configuration or that your folder is writeable!
